nome_casa,endereço_casa,preco_casa,metros_casa,quartos_casa,banheiros_casa,vagas_casa
Casa com 2 Quartos para Venda/Aluguel 110m²,"Jardim Maria José, Salto - SP",R$ 5.500 /mês,110,2,2,2
"Casa com 2 Quartos para Aluguel, 80m²","Rua Goiânia, 1 - Jardim Panorama, Salto - SP",R$ 5.000 /mês,80,2,1,1
Casa com 4 Quartos à Venda/Aluguel 490m²,"Jardim Maria José, Salto - SP",R$ 950.000,490,4,6,4
Casa com 3 Quartos para Venda/Aluguel 98m²,"Rua Roberto Simonsen - Parque Bela Vista, Salto - SP",R$ 1.500 /mês,98,3,2,1
Casa com 2 Quartos para Venda/Aluguel 144m²,"Jardim Europa, Salto - SP",R$ 6.000 /mês,144,2,2,1
"Casa com 2 Quartos para Aluguel, 65m²","Salto Ville, Salto - SP",R$ 6.000 /mês,65,2,1,--
"Casa com 2 Quartos para Aluguel, 125m²","CONDOMINIO ZULEIKA JABOUR, Salto - SP",R$ 1.100.000,125,2,1,2
"Casa com 2 Quartos para Aluguel, 85m²","Rua Aquarela do Brasil, 22 - Condomínio Monte Belo, Salto - SP",R$ 1.100 /mês,85,2,1,--
"Casa com 3 Quartos para Aluguel, 90m²","Rua Oceania, 63 - Jardim Celani, Salto - SP",R$ 1.370 /mês,90,3,1,1
"Casa com 2 Quartos para Aluguel, 46m²","Centro, Salto - SP",R$ 1.550 /mês,46,2,1,4
"Casa com 3 Quartos para Aluguel, 100m²","Vila Teixeira, Salto - SP",R$ 330.000,100,3,1,1
"Casa com 2 Quartos para Aluguel, 100m²","Residencial São Gabriel, Salto - SP",R$ 2.300 /mês,100,2,1,--
"Casa com 3 Quartos para Aluguel, 1050m²","Jardim das Nações, Salto - SP",R$ 12.800 /mês,1050,3,2,2
"Casa com 6 Quartos para Aluguel, 900m²","Centro, Salto - SP",R$ 1.900.000,900,6,10,5
"Casa com 3 Quartos para Aluguel, 249m²","Centro, Salto - SP",R$ 1.200 /mês,249,3,2,4
"Casa com 3 Quartos para Aluguel, 200m²","Parque Bela Vista, Salto - SP",R$ 250.000,200,3,1,4
Casa com 2 Quartos à Venda/Aluguel 93m²,"Jardim São João, Salto - SP",R$ 1.500 /mês,93,2,9,--
Casa com 3 Quartos para Venda/Aluguel 320m²,"Centro, Salto - SP",R$ 300.000,320,3,5,2
Casa com 4 Quartos para Venda/Aluguel 240m²,"Jardim Bom Retiro, Salto - SP",R$ 2.500 /mês,240,4,2,4
"Casa com 2 Quartos para Aluguel, 115m²","Jardim D'icarai, Salto - SP",R$ 1.300 /mês,115,2,1,1
"Casa com 2 Quartos para Aluguel, 50m²","Jardim das Nações, Salto - SP",R$ 2.300 /mês,50,2,1,2
"Casa com 2 Quartos para Aluguel, 60m²","Terras De Mont Serrat, Salto - SP",R$ 1.300 /mês,60,2,1,1
Casa com 2 Quartos para Venda/Aluguel 187m²,"Residencial Haras Paineiras, Salto - SP",R$ 1.450 /mês,187,2,3,6
"Casa com 2 Quartos para Aluguel, 150m²","Jardim Imperador , Salto - SP",R$ 1.300 /mês,150,2,1,--
Casa com 3 Quartos para Venda/Aluguel 140m²,"Rua Antônio João Dias, 22 - CONDOMINIO ZULEIKA JABOUR, Salto - SP",R$ 6.000 /mês,140,3,2,1
"Casa com 4 Quartos para Aluguel, 300m²","Loteamento Santa Edwiges, Salto - SP",R$ 9.500 /mês,300,4,3,4
"Casa com 4 Quartos para Aluguel, 337m²","Rua Itapiru, 948 - Parque Bela Vista, Salto - SP",R$ 3.500 /mês,337,4,2,--
"Casa com 3 Quartos para Aluguel, 116m²","Jardim Arco Iris, Salto - SP",R$ 5.800 /mês,116,3,2,2
"Casa com 3 Quartos para Aluguel, 237m²","Guaraú, Salto - SP",R$ 2.500 /mês,237,3,5,2
Casa com 3 Quartos para Venda/Aluguel 200m²,"Centro, Salto - SP",R$ 420.000,200,3,2,--
"Casa com 2 Quartos para Aluguel, 150m²","Avenida José Maria Marques de Oliveira, 22 - Condominio Fec Moradas Sao Luiz, Salto - SP",R$ 3.500 /mês,150,2,1,2
"Casa com 3 Quartos para Aluguel, 220m²","Jardim Santa Lúcia, Salto - SP",R$ 725.000,220,3,1,3
Casa com 3 Quartos à Venda/Aluguel 290m²,"Jardim Maria José, Salto - SP",R$ 3.000 /mês,290,3,4,2
"Casa com 2 Quartos para Aluguel, 76m²","Rua Goiânia, 1 - Jardim Panorama, Salto - SP",R$ 700.000,76,2,1,--
"Casa com 2 Quartos para Aluguel, 168m²","Jardim Maria José, Salto - SP",R$ 1.550 /mês,168,2,2,4
"Casa com 2 Quartos para Aluguel, 100m²","Rua Roberto Simonsen - Parque Bela Vista, Salto - SP",R$ 1.500 /mês,100,2,1,1
Casa com 2 Quartos para Venda/Aluguel 110m²,"Jardim Europa, Salto - SP",R$ 1.250 /mês,110,2,2,2
"Casa com 2 Quartos para Aluguel, 80m²","Salto Ville, Salto - SP",R$ 2.500 /mês,80,2,1,1
Casa com 4 Quartos à Venda/Aluguel 490m²,"CONDOMINIO ZULEIKA JABOUR, Salto - SP",R$ 580.000,490,4,6,4
Casa com 3 Quartos para Venda/Aluguel 98m²,"Rua Aquarela do Brasil, 22 - Condomínio Monte Belo, Salto - SP",R$ 950 /mês,98,3,2,1
Casa com 2 Quartos para Venda/Aluguel 144m²,"Rua Oceania, 63 - Jardim Celani, Salto - SP",R$ 2.500 /mês,144,2,2,1
"Casa com 2 Quartos para Aluguel, 65m²","Centro, Salto - SP",R$ 625.000,65,2,1,--
"Casa com 2 Quartos para Aluguel, 125m²","Vila Teixeira, Salto - SP",R$ 2.800 /mês,125,2,1,2
"Casa com 2 Quartos para Aluguel, 85m²","Residencial São Gabriel, Salto - SP",R$ 4.806 /mês,85,2,1,--
"Casa com 3 Quartos para Aluguel, 90m²","Jardim das Nações, Salto - SP",R$ 1.900 /mês,90,3,1,1
"Casa com 2 Quartos para Aluguel, 46m²","Centro, Salto - SP",R$ 5.500 /mês,46,2,1,4
"Casa com 3 Quartos para Aluguel, 100m²","Centro, Salto - SP",R$ 5.000 /mês,100,3,1,1
"Casa com 2 Quartos para Aluguel, 100m²","Parque Bela Vista, Salto - SP",R$ 950.000,100,2,1,--
"Casa com 3 Quartos para Aluguel, 1050m²","Jardim São João, Salto - SP",R$ 1.500 /mês,1050,3,2,2
"Casa com 6 Quartos para Aluguel, 900m²","Centro, Salto - SP",R$ 6.000 /mês,900,6,10,5
"Casa com 3 Quartos para Aluguel, 249m²","Jardim Bom Retiro, Salto - SP",R$ 6.000 /mês,249,3,2,4
"Casa com 3 Quartos para Aluguel, 200m²","Jardim D'icarai, Salto - SP",R$ 1.100.000,200,3,1,4
Casa com 2 Quartos à Venda/Aluguel 93m²,"Jardim das Nações, Salto - SP",R$ 1.100 /mês,93,2,9,--
Casa com 3 Quartos para Venda/Aluguel 320m²,"Terras De Mont Serrat, Salto - SP",R$ 1.370 /mês,320,3,5,2
Casa com 4 Quartos para Venda/Aluguel 240m²,"Residencial Haras Paineiras, Salto - SP",R$ 1.550 /mês,240,4,2,4
"Casa com 2 Quartos para Aluguel, 115m²","Jardim Imperador , Salto - SP",R$ 330.000,115,2,1,1
