nome_casa,endereço_casa,preco_casa,metros_casa,quartos_casa,banheiros_casa,vagas_casa
"Apartamento com 2 Quartos à Venda, 63m²","Jardim Nair Maria, Salto - SP",R$ 367.000,63,2,2,1
"Apartamento com 2 Quartos à Venda, 166m²","Jardim Nair Maria, Salto - SP",R$ 183.490,166,2,4,2
"Apartamento com 2 Quartos à Venda, 56m²","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",R$ 330.000,56,2,1,1
"Apartamento com 3 Quartos à Venda, 120m²","Rua Macapá, 80 - Jardim Panorama, Salto - SP",R$ 550.000,120,3,2,2
Residencial Sabine,"Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",R$ 340.000,40-43,2,1,1
"Apartamento com 3 Quartos à Venda, 64m²","Rua Turmalina, 51 - Jardim Sontag, Salto - SP",R$ 270.000,64,3,1,1
"Apartamento com 3 Quartos à Venda, 94m²","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",R$ 275.000,94,3,2,1
"Apartamento com 2 Quartos à Venda, 62m²","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",R$ 190.000,62,2,2,1
"Apartamento com 2 Quartos à Venda, 65m²","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",R$ 168.490,65,2,2,1
"Apartamento com 2 Quartos à Venda, 53m²","Avenida Eugênio Coltro, 1925 - Salto Ville, Salto - SP",R$ 700.000,53,2,1,1
"Apartamento com 2 Quartos à Venda, 48m²","Rua das Nações Unidas, 2111 - Olaria, Salto - SP",R$ 185.000,48,2,1,1
Residencial Sollare,"Rua Itapiru, 795 - Parque Bela Vista, Salto - SP",R$ 277.000,40,2,1-2,1
"Apartamento com 4 Quartos à Venda, 158m²","Rua Antônio Gianotto, 243 - Guaraú, Salto - SP",R$ 1.500 /mês,158,4,4,2
"Apartamento com 2 Quartos à Venda, 47m²","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",R$ 260.000,47,2,1,1
"Apartamento com 2 Quartos à Venda, 53m²","Rua Padre José de Anchieta, 86 - Vila Romão, Salto - SP",R$ 1.800 /mês,53,2,1,1
Apartamento com 2 Quartos à Venda/Aluguel 76m²,"Jardim Sontag, Salto - SP",R$ 290.000,76,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 62m²,"Salto Ville, Salto - SP","A partir de
R$ 309.000",62,2,2,1
"Apartamento com 2 Quartos à Venda, 61m²","Rua Francisco Brantes Lima, 501 - Jardim Rosinha, Itu - SP",R$ 206.000,61,2,1,1
Torres de Itu,"Rua Melvin Jones, 500 - Vila Roma, Salto - SP",R$ 371.000,73-86,2-3,2,1-2
"Apartamento com 2 Quartos à Venda, 51m²","Jardim Nair Maria, Salto - SP",R$ 170.000,51,2,1,1
"Apartamento com 2 Quartos à Venda, 74m²","Rua Eviner Gonzaga - Loteamento Jardim das Constelacoes, Salto - SP",R$ 420.000,74,2,1,1
"Apartamento com 2 Quartos à Venda, 48m²","Rua Doutor Henrique Viscardi - Vila Henrique, Salto - SP",R$ 390.000,48,2,1,1
"Apartamento com 3 Quartos à Venda, 84m²","Rua São Mateus - Jardim Nova Era, Salto - SP",R$ 190.000,84,3,2,2
"Apartamento com 3 Quartos à Venda, 75m²","Jardim Nair Maria, Salto - SP",R$ 209.000,75,3,2,2
"Apartamento com 2 Quartos à Venda, 45m²","Rua São Mateus, 51 - Jardim Nova Era, Salto - SP",R$ 186.000,45,2,1,--
"Apartamento com 3 Quartos à Venda, 85m²","Rua Eviner Gonzaga, 22 - Loteamento Jardim das Constelacoes, Salto - SP",R$ 295.000,85,3,1,2
"Apartamento com 2 Quartos à Venda, 44m²","Avenida Remigio Dalla Vecchia, 431 - Jardim Nair Maria, Salto - SP",R$ 3.200 /mês,44,2,1,1
"Apartamento com 2 Quartos à Venda, 65m²","Salto Ville, Salto - SP",R$ 480.000,65,2,1,1
"Apartamento com 2 Quartos à Venda, 46m²","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",R$ 2.300 /mês,46,2,1,1
"Apartamento com 2 Quartos à Venda, 62m²","Vila Teixeira, Salto - SP",R$ 320.000,62,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 114m²,"Parque Bela Vista, Salto - SP",R$ 220.000,114,2,3,2
Apartamento com 3 Quartos para Venda/Aluguel 63m²,"Parque Bela Vista, Salto - SP",R$ 185.000,63,3,1,1
"Apartamento com 2 Quartos à Venda, 46m²","Jardim Nair Maria, Salto - SP",R$ 367.000,46,2,1,1
"Apartamento com 3 Quartos à Venda, 63m²","Avenida Remigio Dalla Vecchia, 0 - Jardim Nair Maria, Salto - SP",R$ 367.000,63,3,2,--
"Apartamento com 2 Quartos à Venda, 42m²","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",R$ 183.490,42,2,1,1
"Apartamento com 2 Quartos à Venda, 74m²","Jardim Nair Maria, Salto - SP",R$ 330.000,74,2,1,1
"Apartamento com 2 Quartos à Venda, 63m²","Jardim Nair Maria, Salto - SP",R$ 550.000,63,2,2,1
"Apartamento com 2 Quartos à Venda, 166m²","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",R$ 340.000,166,2,4,2
"Apartamento com 2 Quartos à Venda, 56m²","Rua Macapá, 80 - Jardim Panorama, Salto - SP",R$ 270.000,56,2,1,1
"Apartamento com 3 Quartos à Venda, 120m²","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",R$ 275.000,120,3,2,2
Residencial Sabine,"Rua Turmalina, 51 - Jardim Sontag, Salto - SP",R$ 190.000,40-43,2,1,1
"Apartamento com 3 Quartos à Venda, 64m²","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",R$ 168.490,64,3,1,1
"Apartamento com 3 Quartos à Venda, 94m²","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",R$ 700.000,94,3,2,1
"Apartamento com 2 Quartos à Venda, 62m²","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",R$ 185.000,62,2,2,1
"Apartamento com 2 Quartos à Venda, 65m²","Avenida Eugênio Coltro, 1925 - Salto Ville, Salto - SP",R$ 277.000,65,2,2,1
"Apartamento com 2 Quartos à Venda, 53m²","Rua das Nações Unidas, 2111 - Olaria, Salto - SP",R$ 1.500 /mês,53,2,1,1
"Apartamento com 2 Quartos à Venda, 48m²","Rua Itapiru, 795 - Parque Bela Vista, Salto - SP",R$ 260.000,48,2,1,1
Residencial Sollare,"Rua Antônio Gianotto, 243 - Guaraú, Salto - SP",R$ 1.800 /mês,40,2,1-2,1
"Apartamento com 4 Quartos à Venda, 158m²","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",R$ 290.000,158,4,4,2
"Apartamento com 2 Quartos à Venda, 47m²","Rua Padre José de Anchieta, 86 - Vila Romão, Salto - SP","A partir de
R$ 309.000",47,2,1,1
"Apartamento com 2 Quartos à Venda, 53m²","Jardim Sontag, Salto - SP",R$ 206.000,53,2,1,1
Apartamento com 2 Quartos à Venda/Aluguel 76m²,"Salto Ville, Salto - SP",R$ 371.000,76,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 62m²,"Rua Francisco Brantes Lima, 501 - Jardim Rosinha, Itu - SP",R$ 170.000,62,2,2,1
"Apartamento com 2 Quartos à Venda, 61m²","Rua Melvin Jones, 500 - Vila Roma, Salto - SP",R$ 420.000,61,2,1,1
Torres de Itu,"Jardim Nair Maria, Salto - SP",R$ 390.000,73-86,2-3,2,1-2
"Apartamento com 2 Quartos à Venda, 51m²","Rua Eviner Gonzaga - Loteamento Jardim das Constelacoes, Salto - SP",R$ 190.000,51,2,1,1
"Apartamento com 2 Quartos à Venda, 74m²","Rua Doutor Henrique Viscardi - Vila Henrique, Salto - SP",R$ 209.000,74,2,1,1
"Apartamento com 2 Quartos à Venda, 48m²","Rua São Mateus - Jardim Nova Era, Salto - SP",R$ 186.000,48,2,1,1
"Apartamento com 3 Quartos à Venda, 84m²","Jardim Nair Maria, Salto - SP",R$ 295.000,84,3,2,2
"Apartamento com 3 Quartos à Venda, 75m²","Rua São Mateus, 51 - Jardim Nova Era, Salto - SP",R$ 3.200 /mês,75,3,2,2
"Apartamento com 2 Quartos à Venda, 45m²","Rua Eviner Gonzaga, 22 - Loteamento Jardim das Constelacoes, Salto - SP",R$ 480.000,45,2,1,--
"Apartamento com 3 Quartos à Venda, 85m²","Avenida Remigio Dalla Vecchia, 431 - Jardim Nair Maria, Salto - SP",R$ 2.300 /mês,85,3,1,2
"Apartamento com 2 Quartos à Venda, 44m²","Salto Ville, Salto - SP",R$ 320.000,44,2,1,1
"Apartamento com 2 Quartos à Venda, 65m²","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",R$ 220.000,65,2,1,1
"Apartamento com 2 Quartos à Venda, 46m²","Vila Teixeira, Salto - SP",R$ 185.000,46,2,1,1
"Apartamento com 2 Quartos à Venda, 62m²","Parque Bela Vista, Salto - SP",R$ 367.000,62,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 114m²,"Parque Bela Vista, Salto - SP",R$ 367.000,114,2,3,2
Apartamento com 3 Quartos para Venda/Aluguel 63m²,"Jardim Nair Maria, Salto - SP",R$ 183.490,63,3,1,1
"Apartamento com 2 Quartos à Venda, 46m²","Avenida Remigio Dalla Vecchia, 0 - Jardim Nair Maria, Salto - SP",R$ 330.000,46,2,1,1
"Apartamento com 3 Quartos à Venda, 63m²","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",R$ 550.000,63,3,2,--
"Apartamento com 2 Quartos à Venda, 42m²","Jardim Nair Maria, Salto - SP",R$ 340.000,42,2,1,1
"Apartamento com 2 Quartos à Venda, 74m²","Jardim Nair Maria, Salto - SP",R$ 270.000,74,2,1,1
"Apartamento com 2 Quartos à Venda, 63m²","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",R$ 275.000,63,2,2,1
"Apartamento com 2 Quartos à Venda, 166m²","Rua Macapá, 80 - Jardim Panorama, Salto - SP",R$ 190.000,166,2,4,2
"Apartamento com 2 Quartos à Venda, 56m²","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",R$ 168.490,56,2,1,1
"Apartamento com 3 Quartos à Venda, 120m²","Rua Turmalina, 51 - Jardim Sontag, Salto - SP",R$ 700.000,120,3,2,2
Residencial Sabine,"Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",R$ 185.000,40-43,2,1,1
"Apartamento com 3 Quartos à Venda, 64m²","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",R$ 277.000,64,3,1,1
"Apartamento com 3 Quartos à Venda, 94m²","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",R$ 1.500 /mês,94,3,2,1
"Apartamento com 2 Quartos à Venda, 62m²","Avenida Eugênio Coltro, 1925 - Salto Ville, Salto - SP",R$ 260.000,62,2,2,1
"Apartamento com 2 Quartos à Venda, 65m²","Rua das Nações Unidas, 2111 - Olaria, Salto - SP",R$ 1.800 /mês,65,2,2,1
"Apartamento com 2 Quartos à Venda, 53m²","Rua Itapiru, 795 - Parque Bela Vista, Salto - SP",R$ 290.000,53,2,1,1
"Apartamento com 2 Quartos à Venda, 48m²","Rua Antônio Gianotto, 243 - Guaraú, Salto - SP","A partir de
R$ 309.000",48,2,1,1
Residencial Sollare,"Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",R$ 206.000,40,2,1-2,1
"Apartamento com 4 Quartos à Venda, 158m²","Rua Padre José de Anchieta, 86 - Vila Romão, Salto - SP",R$ 371.000,158,4,4,2
"Apartamento com 2 Quartos à Venda, 47m²","Jardim Sontag, Salto - SP",R$ 170.000,47,2,1,1
"Apartamento com 2 Quartos à Venda, 53m²","Salto Ville, Salto - SP",R$ 420.000,53,2,1,1
Apartamento com 2 Quartos à Venda/Aluguel 76m²,"Rua Francisco Brantes Lima, 501 - Jardim Rosinha, Itu - SP",R$ 390.000,76,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 62m²,"Rua Melvin Jones, 500 - Vila Roma, Salto - SP",R$ 190.000,62,2,2,1
"Apartamento com 2 Quartos à Venda, 61m²","Jardim Nair Maria, Salto - SP",R$ 209.000,61,2,1,1
Torres de Itu,"Rua Eviner Gonzaga - Loteamento Jardim das Constelacoes, Salto - SP",R$ 186.000,73-86,2-3,2,1-2
"Apartamento com 2 Quartos à Venda, 51m²","Rua Doutor Henrique Viscardi - Vila Henrique, Salto - SP",R$ 295.000,51,2,1,1
"Apartamento com 2 Quartos à Venda, 74m²","Rua São Mateus - Jardim Nova Era, Salto - SP",R$ 3.200 /mês,74,2,1,1
"Apartamento com 2 Quartos à Venda, 48m²","Jardim Nair Maria, Salto - SP",R$ 480.000,48,2,1,1
"Apartamento com 3 Quartos à Venda, 84m²","Rua São Mateus, 51 - Jardim Nova Era, Salto - SP",R$ 2.300 /mês,84,3,2,2
"Apartamento com 3 Quartos à Venda, 75m²","Rua Eviner Gonzaga, 22 - Loteamento Jardim das Constelacoes, Salto - SP",R$ 320.000,75,3,2,2
"Apartamento com 2 Quartos à Venda, 45m²","Avenida Remigio Dalla Vecchia, 431 - Jardim Nair Maria, Salto - SP",R$ 220.000,45,2,1,--
"Apartamento com 3 Quartos à Venda, 85m²","Salto Ville, Salto - SP",R$ 185.000,85,3,1,2
"Apartamento com 2 Quartos à Venda, 44m²","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",R$ 367.000,44,2,1,1
"Apartamento com 2 Quartos à Venda, 65m²","Vila Teixeira, Salto - SP",R$ 367.000,65,2,1,1
"Apartamento com 2 Quartos à Venda, 46m²","Parque Bela Vista, Salto - SP",R$ 183.490,46,2,1,1
"Apartamento com 2 Quartos à Venda, 62m²","Parque Bela Vista, Salto - SP",R$ 330.000,62,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 114m²,"Jardim Nair Maria, Salto - SP",R$ 550.000,114,2,3,2
Apartamento com 3 Quartos para Venda/Aluguel 63m²,"Avenida Remigio Dalla Vecchia, 0 - Jardim Nair Maria, Salto - SP",R$ 340.000,63,3,1,1
"Apartamento com 2 Quartos à Venda, 46m²","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",R$ 270.000,46,2,1,1
"Apartamento com 3 Quartos à Venda, 63m²","Jardim Nair Maria, Salto - SP",R$ 275.000,63,3,2,--
"Apartamento com 2 Quartos à Venda, 42m²","Jardim Nair Maria, Salto - SP",R$ 190.000,42,2,1,1
"Apartamento com 2 Quartos à Venda, 74m²","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",R$ 168.490,74,2,1,1
"Apartamento com 2 Quartos à Venda, 63m²","Rua Macapá, 80 - Jardim Panorama, Salto - SP",R$ 700.000,63,2,2,1
"Apartamento com 2 Quartos à Venda, 166m²","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",R$ 185.000,166,2,4,2
"Apartamento com 2 Quartos à Venda, 56m²","Rua Turmalina, 51 - Jardim Sontag, Salto - SP",R$ 277.000,56,2,1,1
"Apartamento com 3 Quartos à Venda, 120m²","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",R$ 1.500 /mês,120,3,2,2
Residencial Sabine,"Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",R$ 260.000,40-43,2,1,1
"Apartamento com 3 Quartos à Venda, 64m²","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",R$ 1.800 /mês,64,3,1,1
"Apartamento com 3 Quartos à Venda, 94m²","Avenida Eugênio Coltro, 1925 - Salto Ville, Salto - SP",R$ 290.000,94,3,2,1
"Apartamento com 2 Quartos à Venda, 62m²","Rua das Nações Unidas, 2111 - Olaria, Salto - SP","A partir de
R$ 309.000",62,2,2,1
"Apartamento com 2 Quartos à Venda, 65m²","Rua Itapiru, 795 - Parque Bela Vista, Salto - SP",R$ 206.000,65,2,2,1
"Apartamento com 2 Quartos à Venda, 53m²","Rua Antônio Gianotto, 243 - Guaraú, Salto - SP",R$ 371.000,53,2,1,1
"Apartamento com 2 Quartos à Venda, 48m²","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",R$ 170.000,48,2,1,1
Residencial Sollare,"Rua Padre José de Anchieta, 86 - Vila Romão, Salto - SP",R$ 420.000,40,2,1-2,1
"Apartamento com 4 Quartos à Venda, 158m²","Jardim Sontag, Salto - SP",R$ 390.000,158,4,4,2
"Apartamento com 2 Quartos à Venda, 47m²","Salto Ville, Salto - SP",R$ 190.000,47,2,1,1
"Apartamento com 2 Quartos à Venda, 53m²","Rua Francisco Brantes Lima, 501 - Jardim Rosinha, Itu - SP",R$ 209.000,53,2,1,1
Apartamento com 2 Quartos à Venda/Aluguel 76m²,"Rua Melvin Jones, 500 - Vila Roma, Salto - SP",R$ 186.000,76,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 62m²,"Jardim Nair Maria, Salto - SP",R$ 295.000,62,2,2,1
"Apartamento com 2 Quartos à Venda, 61m²","Rua Eviner Gonzaga - Loteamento Jardim das Constelacoes, Salto - SP",R$ 3.200 /mês,61,2,1,1
Torres de Itu,"Rua Doutor Henrique Viscardi - Vila Henrique, Salto - SP",R$ 480.000,73-86,2-3,2,1-2
"Apartamento com 2 Quartos à Venda, 51m²","Rua São Mateus - Jardim Nova Era, Salto - SP",R$ 2.300 /mês,51,2,1,1
"Apartamento com 2 Quartos à Venda, 74m²","Jardim Nair Maria, Salto - SP",R$ 320.000,74,2,1,1
"Apartamento com 2 Quartos à Venda, 48m²","Rua São Mateus, 51 - Jardim Nova Era, Salto - SP",R$ 220.000,48,2,1,1
"Apartamento com 3 Quartos à Venda, 84m²","Rua Eviner Gonzaga, 22 - Loteamento Jardim das Constelacoes, Salto - SP",R$ 185.000,84,3,2,2
"Apartamento com 3 Quartos à Venda, 75m²","Avenida Remigio Dalla Vecchia, 431 - Jardim Nair Maria, Salto - SP",R$ 367.000,75,3,2,2
"Apartamento com 2 Quartos à Venda, 45m²","Salto Ville, Salto - SP",R$ 367.000,45,2,1,--
"Apartamento com 3 Quartos à Venda, 85m²","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",R$ 183.490,85,3,1,2
"Apartamento com 2 Quartos à Venda, 44m²","Vila Teixeira, Salto - SP",R$ 330.000,44,2,1,1
"Apartamento com 2 Quartos à Venda, 65m²","Parque Bela Vista, Salto - SP",R$ 550.000,65,2,1,1
"Apartamento com 2 Quartos à Venda, 46m²","Parque Bela Vista, Salto - SP",R$ 340.000,46,2,1,1
"Apartamento com 2 Quartos à Venda, 62m²","Jardim Nair Maria, Salto - SP",R$ 270.000,62,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 114m²,"Avenida Remigio Dalla Vecchia, 0 - Jardim Nair Maria, Salto - SP",R$ 275.000,114,2,3,2
Apartamento com 3 Quartos para Venda/Aluguel 63m²,"Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",R$ 190.000,63,3,1,1
"Apartamento com 2 Quartos à Venda, 46m²","Jardim Nair Maria, Salto - SP",R$ 168.490,46,2,1,1
"Apartamento com 3 Quartos à Venda, 63m²","Jardim Nair Maria, Salto - SP",R$ 700.000,63,3,2,--
"Apartamento com 2 Quartos à Venda, 42m²","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",R$ 185.000,42,2,1,1
"Apartamento com 2 Quartos à Venda, 74m²","Rua Macapá, 80 - Jardim Panorama, Salto - SP",R$ 277.000,74,2,1,1
"Apartamento com 2 Quartos à Venda, 63m²","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",R$ 1.500 /mês,63,2,2,1
"Apartamento com 2 Quartos à Venda, 166m²","Rua Turmalina, 51 - Jardim Sontag, Salto - SP",R$ 260.000,166,2,4,2
"Apartamento com 2 Quartos à Venda, 56m²","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",R$ 1.800 /mês,56,2,1,1
"Apartamento com 3 Quartos à Venda, 120m²","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",R$ 290.000,120,3,2,2
Residencial Sabine,"Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP","A partir de
R$ 309.000",40-43,2,1,1
"Apartamento com 3 Quartos à Venda, 64m²","Avenida Eugênio Coltro, 1925 - Salto Ville, Salto - SP",R$ 206.000,64,3,1,1
"Apartamento com 3 Quartos à Venda, 94m²","Rua das Nações Unidas, 2111 - Olaria, Salto - SP",R$ 371.000,94,3,2,1
"Apartamento com 2 Quartos à Venda, 62m²","Rua Itapiru, 795 - Parque Bela Vista, Salto - SP",R$ 170.000,62,2,2,1
"Apartamento com 2 Quartos à Venda, 65m²","Rua Antônio Gianotto, 243 - Guaraú, Salto - SP",R$ 420.000,65,2,2,1
"Apartamento com 2 Quartos à Venda, 53m²","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",R$ 390.000,53,2,1,1
"Apartamento com 2 Quartos à Venda, 48m²","Rua Padre José de Anchieta, 86 - Vila Romão, Salto - SP",R$ 190.000,48,2,1,1
Residencial Sollare,"Jardim Sontag, Salto - SP",R$ 209.000,40,2,1-2,1
"Apartamento com 4 Quartos à Venda, 158m²","Salto Ville, Salto - SP",R$ 186.000,158,4,4,2
"Apartamento com 2 Quartos à Venda, 47m²","Rua Francisco Brantes Lima, 501 - Jardim Rosinha, Itu - SP",R$ 295.000,47,2,1,1
"Apartamento com 2 Quartos à Venda, 53m²","Rua Melvin Jones, 500 - Vila Roma, Salto - SP",R$ 3.200 /mês,53,2,1,1
Apartamento com 2 Quartos à Venda/Aluguel 76m²,"Jardim Nair Maria, Salto - SP",R$ 480.000,76,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 62m²,"Rua Eviner Gonzaga - Loteamento Jardim das Constelacoes, Salto - SP",R$ 2.300 /mês,62,2,2,1
"Apartamento com 2 Quartos à Venda, 61m²","Rua Doutor Henrique Viscardi - Vila Henrique, Salto - SP",R$ 320.000,61,2,1,1
Torres de Itu,"Rua São Mateus - Jardim Nova Era, Salto - SP",R$ 220.000,73-86,2-3,2,1-2
"Apartamento com 2 Quartos à Venda, 51m²","Jardim Nair Maria, Salto - SP",R$ 185.000,51,2,1,1
"Apartamento com 2 Quartos à Venda, 74m²","Rua São Mateus, 51 - Jardim Nova Era, Salto - SP",R$ 367.000,74,2,1,1
"Apartamento com 2 Quartos à Venda, 48m²","Rua Eviner Gonzaga, 22 - Loteamento Jardim das Constelacoes, Salto - SP",R$ 367.000,48,2,1,1
"Apartamento com 3 Quartos à Venda, 84m²","Avenida Remigio Dalla Vecchia, 431 - Jardim Nair Maria, Salto - SP",R$ 183.490,84,3,2,2
"Apartamento com 3 Quartos à Venda, 75m²","Salto Ville, Salto - SP",R$ 330.000,75,3,2,2
"Apartamento com 2 Quartos à Venda, 45m²","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",R$ 550.000,45,2,1,--
"Apartamento com 3 Quartos à Venda, 85m²","Vila Teixeira, Salto - SP",R$ 340.000,85,3,1,2
"Apartamento com 2 Quartos à Venda, 44m²","Parque Bela Vista, Salto - SP",R$ 270.000,44,2,1,1
